product,year,region,scope,scenario,unit,name,emissivity_type,emission_factor_n2o
Urea,2020,China,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0063474209650582
Urea,2020,North America,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0057412129980287
Urea,2020,Rest of Asia,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0074236272878535
Urea,2020,Russia,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0057104825291181
Urea,2020,Europe,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0056841264559068
Urea,2020,India,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0069448252911813
Urea,2020,Middle East,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0059389018302828
Urea,2020,Africa,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0056665557404326
Urea,2020,Latin America,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.005872811928453
Urea,2020,Oceania,3_downstream,"BAU,LC",tN2O/tUrea,Urea,0.0,0.0056929276263087
Ammonium nitrate,2020,China,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.004774494569169
Ammonium nitrate,2020,North America,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0043185083249444
Ammonium nitrate,2020,Rest of Asia,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0055840109494088
Ammonium nitrate,2020,Russia,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0042953930380067
Ammonium nitrate,2020,Europe,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0042755681470621
Ammonium nitrate,2020,India,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0052238587639143
Ammonium nitrate,2020,Middle East,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.004467208759527
Ammonium nitrate,2020,Africa,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.004262351553099
Ammonium nitrate,2020,Latin America,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0044174963047992
Ammonium nitrate,2020,Oceania,3_downstream,"BAU,LC",tN2O/tAN,Ammonium nitrate,0.0,0.0042821883382417
Ammonia,2020,China,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0112199999999999
Ammonia,2020,North America,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0101484382700448
Ammonia,2020,Latin America,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0103810587323537
Ammonia,2020,Africa,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0100164705882352
Ammonia,2020,Middle East,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0104978823529411
Ammonia,2020,Rest of Asia,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0131223529411764
Ammonia,2020,India,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0122759999999999
Ammonia,2020,Oceania,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0100630867747397
Ammonia,2020,Russia,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0100941176470588
Ammonia,2020,Europe,3_downstream,"BAU,LC",tN2O/tNH3,Ammonia,,0.0042755681470621
Urea,2020,China,3_downstream,FA,tN2O/tUrea,Urea,,0.0063474209650582
Urea,2020,North America,3_downstream,FA,tN2O/tUrea,Urea,,0.0057412129980287
Urea,2020,Latin America,3_downstream,FA,tN2O/tUrea,Urea,,0.005872811928453
